業態,媒体,SHAP,貢献度
弁護士・司法書士,ホームページ,0.0285,0.4998
弁護士・司法書士,公式SNS,0.0071,0.1251
弁護士・司法書士,ポス,0.0062,0.1086
弁護士・司法書士,新聞広告,0.0054,0.0947
弁護士・司法書士,折込,0.0043,0.0751
弁護士・司法書士,SNS広告,0.0033,0.0575
弁護士・司法書士,FP,0.0022,0.0393
不動産仲介会社,ホームページ,0.0285,0.4998
不動産仲介会社,公式SNS,0.0071,0.1251
不動産仲介会社,ポス,0.0062,0.1086
不動産仲介会社,新聞広告,0.0054,0.0947
不動産仲介会社,折込,0.0043,0.0751
不動産仲介会社,SNS広告,0.0033,0.0575
不動産仲介会社,FP,0.0022,0.0393
葬儀会社・葬祭サービス,ホームページ,0.0285,0.4998
葬儀会社・葬祭サービス,公式SNS,0.0071,0.1251
葬儀会社・葬祭サービス,ポス,0.0062,0.1086
葬儀会社・葬祭サービス,新聞広告,0.0054,0.0947
葬儀会社・葬祭サービス,折込,0.0043,0.0751
葬儀会社・葬祭サービス,SNS広告,0.0033,0.0575
葬儀会社・葬祭サービス,FP,0.0022,0.0393
引っ越し業者,ホームページ,0.0285,0.4998
引っ越し業者,公式SNS,0.0071,0.1251
引っ越し業者,ポス,0.0062,0.1086
引っ越し業者,新聞広告,0.0054,0.0947
引っ越し業者,折込,0.0043,0.0751
引っ越し業者,SNS広告,0.0033,0.0575
引っ越し業者,FP,0.0022,0.0393
リサイクルショップ・中古品買取店,ホームページ,0.0285,0.4998
リサイクルショップ・中古品買取店,公式SNS,0.0071,0.1251
リサイクルショップ・中古品買取店,ポス,0.0062,0.1086
リサイクルショップ・中古品買取店,新聞広告,0.0054,0.0947
リサイクルショップ・中古品買取店,折込,0.0043,0.0751
リサイクルショップ・中古品買取店,SNS広告,0.0033,0.0575
リサイクルショップ・中古品買取店,FP,0.0022,0.0393
ファイナンシャルプランナー,ホームページ,0.0285,0.4998
ファイナンシャルプランナー,公式SNS,0.0071,0.1251
ファイナンシャルプランナー,ポス,0.0062,0.1086
ファイナンシャルプランナー,新聞広告,0.0054,0.0947
ファイナンシャルプランナー,折込,0.0043,0.0751
ファイナンシャルプランナー,SNS広告,0.0033,0.0575
ファイナンシャルプランナー,FP,0.0022,0.0393
宅配ピザ・宅配寿司,ホームページ,0.0285,0.4998
宅配ピザ・宅配寿司,公式SNS,0.0071,0.1251
宅配ピザ・宅配寿司,ポス,0.0062,0.1086
宅配ピザ・宅配寿司,新聞広告,0.0054,0.0947
宅配ピザ・宅配寿司,折込,0.0043,0.0751
宅配ピザ・宅配寿司,SNS広告,0.0033,0.0575
宅配ピザ・宅配寿司,FP,0.0022,0.0393
ジム、フィットネスクラブ,ホームページ,0.0285,0.4998
ジム、フィットネスクラブ,公式SNS,0.0071,0.1251
ジム、フィットネスクラブ,ポス,0.0062,0.1086
ジム、フィットネスクラブ,新聞広告,0.0054,0.0947
ジム、フィットネスクラブ,折込,0.0043,0.0751
ジム、フィットネスクラブ,SNS広告,0.0033,0.0575
ジム、フィットネスクラブ,FP,0.0022,0.0393
金、プラチナなどの貴金属・宝飾品・ブランド時計買取店,ホームページ,0.0285,0.4998
金、プラチナなどの貴金属・宝飾品・ブランド時計買取店,公式SNS,0.0071,0.1251
金、プラチナなどの貴金属・宝飾品・ブランド時計買取店,ポス,0.0062,0.1086
金、プラチナなどの貴金属・宝飾品・ブランド時計買取店,新聞広告,0.0054,0.0947
金、プラチナなどの貴金属・宝飾品・ブランド時計買取店,折込,0.0043,0.0751
金、プラチナなどの貴金属・宝飾品・ブランド時計買取店,SNS広告,0.0033,0.0575
金、プラチナなどの貴金属・宝飾品・ブランド時計買取店,FP,0.0022,0.0393
学習塾(小学生~高校生向け),ホームページ,0.0285,0.4998
学習塾(小学生~高校生向け),公式SNS,0.0071,0.1251
学習塾(小学生~高校生向け),ポス,0.0062,0.1086
学習塾(小学生~高校生向け),新聞広告,0.0054,0.0947
学習塾(小学生~高校生向け),折込,0.0043,0.0751
学習塾(小学生~高校生向け),SNS広告,0.0033,0.0575
学習塾(小学生~高校生向け),FP,0.0022,0.0393
